task,html,github,path,script
Ultimatum game (various versions),"<h2>Ultimatum game (various versions)</h2><br><h2>1. Set-Up</h2><p>Participants are placed into pairs and randomly assigned the role of ""proposer"" or ""responder."" The proposer will receive an endowment that they may split with the responder. The proposer will make a decision as to how they would like to split it, which is then shared with the responder. The responder can then choose to either accept or reject. If accepted, the sum is split as was proposed, but if rejected, both players receive nothing. Players are made aware of the payoff arrangement prior to making their decisions. The same pairs play together for a predetermined number of rounds and roles are reassigned each round.</p><br><h2>2. Objective / Goal</h2><p>Each participant has the goal of maximizing their earnings. In the proposer role, participants must consider how much they should offer in order to keep as much as possible while ensuring the offer will still be accepted. In the responder role, participants must consider how they will respond to ""unfair"" or ""low"" proposals and the impact this will have on their payoff in the remaining rounds. Both must also consider their reputation and relationship with their partner throughout the game and the impact of these factors on their earnings. Participants must also make their proposals and response decisions in a fixed amount of time.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/c9bcd997bca864863d115bca71c6a5231567c258,tasks/summaries/Ultimatum game (various versions)-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Prisoner's Dilemma (various versions),"<h2>Prisoner's Dilemma (various versions)</h2><br><h2>1. Set-Up</h2><p>Participants are given a choice to ""cooperate"" or ""defect"" and are given, in advance, the payoff to be expected for each choice, and when appropriate, the combination of choices between participants. The expected payoffs are the same for all participants. Each participant independently makes their choice without discussion. This process is repeated for a predetermined number of rounds.</p><br><h2>2. Objective / Goal</h2><p>Each participant's goal is to maximize their own payoff. For example, let us consider a simple two-player game. If both participants cooperate, they'll both lose a small amount, and if both defect, they will lose a large amount. If one participant cooperates while the other defects, the cooperator will lose a large amount while the defector loses nothing. In this scenario, the participants must balance the temptation of defecting and the risk of their opponent doing the same to minimize their losses. Participants must also make each decision in a fixed amount of time.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/8450ca667aaf43edbdcb03630b20a1b7449b6dec,tasks/summaries/Prisoner's Dilemma (various versions)-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Public goods game,"<h2>Public goods game</h2><br><h2>1. Set-Up</h2><p>Participants receive the same amount of tokens and they secretly choose how many of their private tokens to put into a public pot. The tokens in this pot are multiplied by a factor (greater than one and less than the number of players, N) and this ""public good"" payoff is evenly divided among players. Each participant also keeps the tokens they do not contribute.</p><p>Here is an example to help you imagine what the game might look like. A group of four players participates in this game and starts with $20 in hand. Three players contribute their full $20 while the fourth chooses to contribute $0. The $60 is multiplied by a factor of 1.2 and the resulting $72 is distributed equally among the four players (this means everyone gets $18 from the pot). In this scenario, the three players contributing the most end the round with $18, while the fourth player gets as much as $38 (they kept their initial $20, and earned an additional $18).</p><br><h2>2. Objective / Goal</h2><p>Participants are instructed that their goal is to maximize their individual payoff as well as the group’s total payoff. It means that one goal is to maximize their personal earnings, which means that they should not invest anything, and simply ""free ride"" off of the others, as in the above example. But another goal is to optimize the group’s outcomes, which means that everyone should contribute all of their tokens to the public pool. If everyone in the example had contributed their full $20, then there would have been $80 in the pool, and each player would be able to take home $24. Participants should try to maximize both individual and group outcomes, which causes a tradeoff. They are given a limited amount of time (e.g., 10 minutes) to play the game.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/76f84581bb1ca0c562c2aa7622517e31df178e3d,tasks/summaries/Public goods game-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Best job candidate (hidden-profile),"<h2>Best job candidate (hidden-profile)</h2><br><h2>1. Set-Up</h2><p>Participants read information about three candidates who supposedly had applied for an assistant professorship. Each candidate's profile included positive, neutral, and negative characteristics, and the characteristics are rated on a 7-point scale ranging from 1 (negative) to 7 (positive). Not all information, however, is shared among group members. The information is distributed to create a hidden profile. For example, each group member knows only two of candidate A's six positive characteristics, and only one of candidate B's negative characteristics. For candidate C, they knew only one positive and one negative characteristic. Thus, based on the shared information, candidate B seemingly has more positive and fewer negative characteristics and therefore would be the preferred candidate. Only by exchanging information through group discussion could the group members detect the best alternative, candidate A.</p><br><h2>2. Objective / Goal</h2><p>The goal for each group is to reach an agreement on the best candidate they would hire. The task is designed so that the full information would show that a candidate among the three is objectively the best (the ""correct answer""). Through discussion and sharing of information, the group should find out the optimal candidate within the time limit.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/b593da55070510ef9ffa7aa7b47df34e891a40fb,tasks/summaries/Best job candidate (hidden-profile)-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Aerospace Investment (Role-playing),"<h2>Aerospace Investment (Role-playing)</h2><br><h2>1. Set-Up</h2><p>Participants are randomly paired for a scored negotiation over a venture capital investment. Each person is randomly assigned the role of either the venture capitalist investor or the founder of the aerospace company. Both individuals are scored on their ability to negotiate favorable investment terms for themselves and on the quality of the relationship they develop with their potential business partner. Each negotiator's Total Score is a sum of Substantive Points, awarded according to the agreed-upon terms of the investment, and Process Points, awarded according to each partner's perception of the negotiation process.</p><p>Specifically, each negotiable term of the investment is quantified as specific point values. After the term sheet has been agreed upon, participants independently fill out questionnaires that ask them to evaluate each other on five attributes to determine the amount of Process Points they are awarded. The five process attributes are: trust, respect, equitability, regard for the other's interests, and interest in future collaboration. These attributes serve as proxies for assessing the future of the business relationship based on their experiences during the negotiation.</p><br><h2>2. Objective / Goal</h2><p>Participants are explicitly instructed that their goal is to maximize their Total Scores (Substantive Points + Process Points), and were given a limited amount of time (e.g., 30 minutes) to conduct their negotiation. The total score reflects the overall success of balancing both substantive and relationship concerns. For instance, the founders may be able to negotiate all the substantive terms in their favor, but if their potential business partners have no desire to work with them again, they would have left significant value at the negotiating table, and this will be reflected in a lower Total Score.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/20d5f55bf564bc1c04cc9a6668d67e9af764522d,tasks/summaries/Aerospace Investment (Role-playing)-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Find the common symbol,"<h2>Find the common symbol</h2><br><h2>1. Set-Up</h2><p>Each participant is given a set of five symbols. For each participant, four of their five symbols are different from those of the other participants, and only one of the symbols is common among everyone. Participants cannot see each others' symbols, but they can send messages to one another.</p><br><h2>2. Objective / Goal</h2><p>The task is to work together to find the common symbol, and to do so (1) as quickly as possible; (2) with as few communications/messages as possible; and (3) with as few mistakes as possible. Their performance would be assessed by their time (in seconds) spent for a correct answer, the number of messages sent by each group member, and the number of wrong answer that had to be corrected during a trial. Participants should provide an answer within the time limit.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/067ad2560e77901bda5c014a05b3d4901e7698b5,tasks/summaries/Find the common symbol-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Battle of the sexes,"<h2>Battle of the sexes</h2><br><h2>1. Set-Up</h2><p>Participants are randomly paired with a different anonymous opponent for a predetermined number of decision-making rounds. In each round, both players must make a decision. The final outcome for the players is determined by the decision of both parties.</p><p>Throughout the rounds, the players have access to a shared table that displays the possible outcomes, depending on each player's decision. For example, suppose that each player has 3 options. Then the rows might represent Player 1's options, and the columns might represent Player 2's options. There would be 3x3 = 9 possible outcomes, and the 9 cells of the table would contain the number of points that the players would earn based on their choices. For example, if Player 1 chooses their first option and Player 2 chooses their second option, then the final outcome would be determined by the number of points listed in row 1, column 2.</p><p>Some outcomes are better than others. Thus, in order to get a better outcome, players have the option to use non-binding one-way communication to signal that they may choose a particular row or column, so that the other player can attempt to coordinate. The process of communication is as follows:</p><ul><li><p>The participant is asked if they would like to make an announcement. They may select either yes or no.</p></li><li><p>If they select yes, they will be asked what they would like to announce. They may select any of the actions that will be available to them during the decision-making period (for example, ""I intend to selection option 2""). The opposing participant will then be told of their selection.</p></li><li><p>If they select no, the opposing participant will be told an announcement was not made.</p></li></ul><p>Players can choose to communicate one or more times. After all communications are complete, the participants will then independently select their actions, and each will receive the number of points corresponding to this combination of actions in their table. Players are not required to actually select the action they previously announced.</p><br><h2>2. Objective / Goal</h2><p>The goal for each participant is to maximize their earnings (points) through the decision-making rounds. Therefore, they should wisely make announcements and selections in order to obtain the highest value in the payoff table. The best outcome is when both players make choices that lead to the the highest possible payoff. In all rounds, participants are required to make choices for their announcements (if applicable) and their actions in a fixed amount of time.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/2d84e23d04cbd949dd1b538e8eb7f7c0b924dfb8,tasks/summaries/Battle of the sexes-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Investment game (hidden-profile),"<h2>Investment game (hidden-profile)</h2><br><h2>1. Set-Up</h2><p>Participants are asked to take the role of the board of directors of an investment company. Their task is to evaluate three companies available for acquisition using a specified set of investment criteria and to provide a rank ordering of the companies' desirability. Profiles on each of the three companies include the financial opinions of in-house and external financial analysts, information on the company's business strategy, strength of its management team, market position, and human resources practices. The investment criteria for evaluating the companies include long-term financial return, the degree of risk tolerated, the ability of the company to stand on its own and fit with the company's general business philosophy.</p><p>Each participant is given different information about the investment options, which means that initial majority and minority opinions are likely to be divided. Participants are then asked to discuss the investment strategy. After they discuss, the group must come to an agreement on how to rank-order the three company from best to worst investment.</p><br><h2>2. Objective / Goal</h2><p>The goal for each group is to reach an agreement on the correct rank ordering of the three companies based on the information they receive. The task is designed so that the full information would show that one company is objectively the best, one is in second place, and one is objectively the worst. Through discussion and sharing of information, the group should find out the ""correct decision"" within the time limit.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/c39441ba1bed444eb1f9f8900dce7b4328413d05,tasks/summaries/Investment game (hidden-profile)-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Dictator game and its variants,"<h2>Dictator game and its variants</h2><br><h2>1. Set-Up</h2><p>Participants are placed into pairs and randomly assigned the role of ""dictator"" or ""receiver."" In each round of the game, the dictator sees an amount of money (the ""endowment"") on the screen, as well as an option to give part of the money to the receiver. After choosing how much to give to the receiver, the dictator keeps the remaining funds, while the receiver keeps the amount that was given to them by the dictator. The receiver is required to accept whatever the dictator chooses to give them and has no option to reject the offer. </p><p>The same pairs play together for a predetermined number of rounds and roles are reassigned each round.</p><br><h2>2. Objective / Goal</h2><p>Each participant has the goal of maximizing their own earnings. In the dictator role, participants must decide how much they will offer (from $0 to the full endowment). Since the dictator knows that the receiver cannot reject the offer, it is in the dictator's interest to give the receiver nothing ($0), because they would then keep the full amount.</p><p>However, there are a few reasons why dictators may choose to give more than $0. Giving nothing may conflict with social norms (because the dictator would then be seen as self-serving), or simply feel morally ""unjust."" If there is more than one round being played, dictators may worry that their relationship and reputation with their partner may be harmed in later rounds. The dictator must weigh these considerations and decide on a final amount to give to the receiver.</p><p>Participants must also make their decisions in a fixed amount of time.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/15dec11933ba5b09bbd0a06e24bb55fd565013f7,tasks/summaries/Dictator game and its variants-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Intergroup Prisoner's Dilemma,"<h2>Intergroup Prisoner's Dilemma</h2><br><h2>1. Set-Up</h2><p>All participants are given a fixed amount of individual money (""endowment"") and divided into two groups, A and B.  Participants are told that their group is competing with the other group to see which one ""invests"" the most money. The winning group receives a larger cash prize.</p><p>Every individual player in the group must make an independent decision to either invest their personal endowment or keep it for themselves. The group wins or loses depending on the number of players that chose to invest relative to the other group. For example, if everyone in Group A invests and no one in Group B invests, Group A would win the entire cash prize and split it among its members. If some people from both groups invest, but more people from Group A invest than people from Group B, then the two groups would split the cash prize (but Group A would get more of it). Finally, if the same number of people in Groups A and B invest (a tie), then the two groups would split the cash prize 50-50.</p><br><h2>2. Objective / Goal</h2><p>Each participant's goal is to maximize their own payoff. Therefore, when making a decision, participants have to weigh up the cost of losing their individual endowment with the expected gain from splitting the cash prize if their group wins. Since the outcome depends on not only the participant's personal choice, but also the choices of all other players, there is a substantial amount of uncertainty and risk. For example, a participant could choose to invest, only to find that their group has lost (not enough other players invested), and they end up with less money than when they started. On the other hand, there is a greater chance of winning the maximum cash prize if everyone in the group invests.</p><p>Participants must make their decisions in a fixed amount of time.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/9bb533db0586afbccce5529c63363f22d2182d5a,tasks/summaries/Intergroup Prisoner's Dilemma-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Chicken,"<h2>Chicken</h2><br><h2>1. Set-Up</h2><p>The game of Chicken simulates a potential confrontation between two players in which each player has the choice to either ""Dare"" the other player or to ""Chicken out."" Participants are given a set of payoffs in advance, and depending on each participant's choices, they can obtain different outcomes. In general, participants get a large benefit if they ""Dare"" the other player and the other player ""Chickens out."" If both players ""Chicken out,"" participants each get a small benefit. If both players choose to ""Dare"" the other, then they get a penalty.</p><p>Each participant independently makes their choice without discussion. This process is repeated for a predetermined number of rounds.</p><br><h2>2. Objective / Goal</h2><p>Each participant's goal is to maximize their own payoff. The participants must balance the temptation of ""Daring"" the other person and the risk of their opponent doing the same to minimize their losses. Participants must also make each decision in a fixed amount of time.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/73fb82e8ae424b3a0cecae8b41e56f6b2ee4e30a,tasks/summaries/Chicken-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Minimum-effort tacit coordination game,"<h2>Minimum-effort tacit coordination game</h2><br><h2>1. Set-Up</h2><p>Participants play in a large group with others. Each participant is given a list of numbers from 1 to 7. In every round, participants must independently choose and submit one of the numbers as their ""guess.""</p><p>Each participant's guess will then be compared to the median guess across all participants. Before making their guesses, participants receive a payoff table that explains how much money they would earn for their guess, depending on how close it was to the median, and on the value of the median. In general, participants earn more money if their guess is closer to the median, and if the median is higher (i.e., closer to 7). Participants win less money if their guess is farther away from the median (e.g., the median was 4 and they guess 5), and if the median is lower (i.e., closer to 1). Additionally, participants suffer a greater penalty for ""overshooting"" (guessing higher than the median) than they do for ""undershooting"" (guessing lower than the median).</p><p>This process is repeated for a predetermined number of rounds.</p><br><h2>2. Objective / Goal</h2><p>Each participant's goal is to maximize their own payoff. The highest possible payoff is if the participant correctly guesses the median, and the median is 7. However, if the true median is lower than 7, the best payoff in the round is to correctly guess the median value and to avoid overshooting. Guessing too high (for example, choosing 7 when the median is 4) would result in a penalty. </p><p>Therefore, participants must balance the tradeoff between guessing a large value, which boosts the median and the overall payoff, and guessing a value that is too large, which results in the overshooting penalty. Additionally, there is a tradeoff between individual gain and collective benefit: if a participant chooses 6 or 7, they would boost the median value (which would increase the overall payoff), but they would be more likely to personally overshoot (leading to the penalty). On the other hand, if the participant chooses 1 or 2, they would decrease the overall payoff, but reduce their own chances of overshooting.</p><p>Participants must also make each decision in a fixed amount of time.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/3d4b3029fdc8eee10b845f35bdb7c46e54636726,tasks/summaries/Minimum-effort tacit coordination game-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
